id,Title,paragraphs,Date,link
0,"G.R. No. 201264, January 11, 2016 - FLORANTE VITUG, Petitioner, v. EVANGELINE A. ABUDA, Respondent.","Parties who have validly executed a contract and have availed themselves of its benefits may not, to escape their contractual obligations, invoke irregularities in its execution to seek its invalidation.

This is a Petition for Review on Certiorari under Rule 45 assailing the Court of Appeals' October 26, 2011 Decision and its March 8, 2012 Resolution. The Court of Appeals affirmed the Regional Trial Court's December 19, 2008 Decision upholding the validity of the mortgage contract executed by petitioner Florante Vitug (Vitug) and respondent Evangeline A. Abuda (Abuda).

On March 17, 1997, Abuda loaned P250,000.00 to Vitug and his wife, Narcisa Vitug.1 As security for the loan, Vitug mortgaged to Abuda his property in Tondo Foreshore along R-10, Block A-50-3, Del Pan to Kagitingan Streets, Tondo, Manila.2 The property was then subject of a conditional Contract to Sell between the National Housing Authority and Vitug. Pertinent portions of the mortgage deed reads
",January 11 2016,https://www.chanrobles.com/cralaw/2016januarydecisions.php?id=1
1,"G.R. No. 178110, January 12, 2016 - AYALA LAND, INC. AND CAPITOL CITIFARMS, INC., Petitioners, v. SIMEONA CASTILLO, LORENZO PERLAS, JESSIELYN CASTILLO, LUIS MAESA, ROLANDO BATIQUIN, AND BUKLURAN MAGSASAKA NG TIBIG, AS REPRESENTED BY THEIR ATTORNEY-IN-FACT, SIMEONA CASTILLO, Respondents.","First, the doctrine of finality of judgment. The doctrine is grounded on the fundamental principle of public policy and sound practice that, at the risk of occasional error, the judgment of courts and the award of quasi-judicial agencies must become final on some definite date fixed by law.

On 29 August 1995, the Supreme Court in G.R. Nos. 85960 and 92610 allowed the Bangko Sentral ng Pilipinas, as receiver, to sell the assets of the Manila Banking Corporation (MBC), including the subject property, to a third party.1 It may be recalled that the property was earlier mortgaged to the MBC by Capitol Citifarms, Inc. (CCFI), and was later awarded to the former in an auction sale. Pursuant to the Court's Resolution, a ""Deed of Absolute Sale""2 over the property was executed in favor of Ayala Land, Inc. (ALI) in December 1995.3

In a Resolution dated 27 July 1999, the Court considered G.R. Nos. 85960 and 92610 closed and terminated.4

On 13 August 2003, Case No. A-9999-04-CV-203-00 — or the Petition for Revocation filed by Lamberto Javier et al. — was also deemed closed as far as the Department of Agrarian Reform (DAR) was concerned.5 The Bureau of Agrarian Legal Assistance was also directed to issue a Certificate of Finality of the Order dated 26 September 2002 issued by former DAR Secretary Hernani Braganza reversing the revocation of the Conversion Order.

Second, the rule that he who alleges must prove. Rule 131, Section 1 of the Rules of Court, places the burden of proof on the alleging party to present evidence on the facts in issue necessary to establish the claim or defense.

It is simply not the role of the Court to apply the missing Notice of Acquisition in perpetuity. Even the Dissent concedes that the records are bereft of any trace of the Notice of Acquisition. This is not a case of a feudal landowner unjustly enriched by the hard work of a long-suffering tenant. ALI is in the precarious position of having been that third-party buyer that offered the terms and conditions most helpful to, ultimately, the BSP. Prior to that acquisition, there was absolutely no relationship between ALI and the farmers. Respondents, on the other hand, are residents who have not yet established any claim — let alone substantial rights — over the land. On the contrary, what has been duly established is that they have received disturbance compensation.6

Respondents never raised the issue regarding the existence or effect of a Notice of Acquisition. Their arguments revolved on the alleged illegality of the sale and the submission of a Sangguniang Bayan resolution, instead of an ordinance. Their brief was primarily on the form in which the local government's action was contained. We also note that they were specifically ordered by the Court of Appeals (CA) to submit a copy of the Notice of Acquisition, but they failed to comply.7

They made no attempt at all to explain their inability to present a copy of the Notice of Acquisition.

Third, the duty of the Court to correct reversible errors of law committed by the CA. It was a grave error on the part of the CA to base its ruling on a conclusion of fact that is not supported by the records of the case. It is settled that issues raised for the first time on appeal and not raised in the proceedings below ought not to be considered by a reviewing court. Points of law, theories, issues, and arguments not brought to the attention of the trial court are barred by estoppel. Especially, as in this case, when the document being cited is not in the record.

Fourth, the doctrine of primary jurisdiction. We reiterate what has been said in the Decision. That is, even assuming that the Notice of Acquisition did exist, considering that CCFI and ALI have had no chance to controvert the CA finding of its legal bar to conversion, this Court is unable to ascertain the details of the Notice of Acquisition at this belated stage, or rule on its legal effect on the Conversion Order duly issued by the DAR, without undermining the technical expertise of the DAR itself. This whole controversy was reviewed and the Conversion Order validated by no less than two DAR Secretaries.

The doctrine of primary jurisdiction holds that if a case is such that its determination would require the expertise, specialized training, and knowledge of an administrative body, relief must first be obtained in an administrative proceeding before resorting to the courts, even if the matter may well be within the latter's proper jurisdiction.

Fifth, the great weight and respect accorded to factual findings of administrative agencies. The factual findings of the DAR Secretary, who, by reason of his official position, has acquired expertise in specific matters within his jurisdiction, deserve full respect. Except for a justifiable reason, these findings ought not to be altered, modified or reversed.",January 12 2016,https://www.chanrobles.com/cralaw/2016januarydecisions.php?id=2
2,"G.R. No. 209387, January 11, 2016 - ERWIN LIBO-ON DELA CRUZ, Petitioner, v. PEOPLE OF THE PHILIPPINES, Respondent.","Routine baggage inspections conducted by port authorities, although done without search warrants, are not unreasonable searches per se. Constitutional provisions protecting privacy should not be so literally understood so as to deny reasonable safeguards to ensure the safety of the traveling public.",January 11 2016,https://www.chanrobles.com/cralaw/2016januarydecisions.php?id=3
3,"G.R. No. 211140, January 12, 2016 - LORD ALLAN JAY Q. VELASCO, Petitioner, v. HON. SPEAKER FELICIANO R. BELMONTE, JR., SECRETARY GENERAL MARILYN B. BARUA-YAP AND REGINA ONGSIAKO REYES, Respondent.","In the same manner that this Court is cautioned to be circumspect because one party is the son of a sitting Justice of this Court, so too must we avoid abjuring what ought to be.done as dictated by law and justice solely for that reason.

Before this Court is a Petition for Mandamus filed under Rule 65 of the Rules of Court, as amended, by Lord Allan Jay Q. Velasco (Velasco) against Hon. Feliciano R. Belmonte, Jr. (Speaker Belmonte, Jr.), Speaker, House of Representatives, ",January 12 2016,https://www.chanrobles.com/cralaw/2016januarydecisions.php?id=4
4,"G.R. No. 167333, January 11, 2016 - PEDRO LADINES, Petitioner, v. PEOPLE OF THE PHILIPPINES AND EDWIN DE RAMON, Respondents.","The resolution of factual issues is the function of lower courts, whose findings thereon are received with respect and are binding on the Court subject to certain exceptions, including: (a) when the findings are grounded entirely on speculation, surmises or conjectures;                                                                                                                                                                                                                                     Secondly, the res gestae statement of Licup did not constitute newly-discovered evidence that created a reasonable doubt as to the petitioner's guilt. We point out that the concept of newly-discovered evidence is applicable only when a litigant seeks a new trial or the re-opening of the case in the trial court. Seldom is the concept appropriate on appeal, particularly one before the Court. The absence of a specific rule on the introduction of newly-discovered evidence at this late stage of the proceedings is not without reason. The Court would be compelled, despite its not being a trier of facts, to receive and consider the evidence for purposes of its appellate adjudication.",January 11 2016,https://www.chanrobles.com/cralaw/2016januarydecisions.php?id=5
5,"G.R. No. 209921, January 13, 2016 - EMMA H. QUIRO-QUIRO, Petitioner, v. BALAGTAS CREDIT COOPERATIVE & COMMUNITY DEVELOPMENT, INC., Respondent.","GROSS NEGLIGENCE/VIOLATION OF COMPANY RULES.

Over withdrawal of Time Deposit (TD) placement of Josie Subido;
Loss of borrower's title for security in the payment of loan obligations of Rolando Roque;
Over computation of interest on TD placements;
Unfair filing of delinquent accounts;
JV number duplication;
Backlog of schedules and recording/postings.

GROSS DISHONESTY

Concealment of the irregularity regarding the over withdrawal in the TD placement of MS. JOSIE SUBIDO that happened way back 18 July 2007. Were it not for the hiring of an OJT who discovered the said report of MS. DENIZA FUENTES the matter would not have been addressed and resolved by requiring the party concerned to issue check/s in payment of the same; and,",January 13 2016,https://www.chanrobles.com/cralaw/2016januarydecisions.php?id=6
6,"A.M. NO. RTJ-16-2443 (FORMERLY OCA IPINO. 10-3521-RTJ), January 11, 2016 - ARMANDO M. BALANAY, Complainant, v. JUDGE JULIANA ADALEM WHITE, REGIONAL TRIAL COURT, BRANCH 5, EASTERN SAMAR, Respondent.","This is an administrative complaint for gross ignorance of the law and serious misconduct filed by complainant Armando M. Balanay against respondent Judge Juliana Adalim-White.

Factual Antecedents

On September 20, 2010, complainant filed before the Office of the Court Administrator (OCA) a verified Affidavit-Complaint1 charging respondent with gross ignorance of the law for allowing Isidoro N. Adamas, Jr. (Adamas) six furloughs despite being charged with murder in Criminal Case No. 10-07, a non-bailable offense. Worse, respondent granted Adama's motions without requiring the prosecution to comment or giving it opportunity to be heard thereon.
",January 11 2016,https://www.chanrobles.com/cralaw/2016januarydecisions.php?id=7
7,"G.R. No. 203882, January 11, 2016 - LORELEI O. ILADAN, Petitioner, v. LA SUERTE INTERNATIONAL MANPOWER AGENCY, INC., AND DEBBIE LAO, Respondents.","By this Petition for Review on Certiorari,1 petitioner Lorelei O. Iladan (Iladan) assails the May 16, 2012 Decision2 and October 4, 2012 Resolution3 of the Court of Appeals (CA) in CA-G.R. SP No. 119903, which reversed the February 23, 20114 and March 31, 20115 Resolutions of the National Labor Relations Commission (NLRC) and consequently dismissed her complaint for illegal dismissal against respondents La Suerte International Manpower Agency, Inc. (La Suerte) and its President and General Manager Debbie Lao (Lao).

Factual Antecedents

La Suerte is a recruitment agency duly authorized by the Philippine Overseas Employment Administration (POEA) to deploy workers for overseas employment. On March 20, 2009, La Suerte hired Iladan to work as a domestic helper in Hongkong for a period of two years with a monthly salary of HK$3,580.00.6 On July 20, 2009, Iladan was deployed to her principal employer in Hongkong, Domestic Services International (Domestic Services), to work as domestic helper for Ms. Muk Sun Fan.",January 11 2016,https://www.chanrobles.com/cralaw/2016januarydecisions.php?id=8
8,"G.R. No. 198450, January 11, 2016 - PEOPLE OF THE PHILIPPINES, Plaintiff-Appellee, v. FERNANDO RANCHE HAVANA A.K.A. FERNANDO RANCHE ABANA, Accused-Appellant.","""Statutory rules on preserving the chain of custody of confiscated prohibited drugs and related items are designed to ensure the integrity and reliability of the evidence to be presented against the accused. Their observance is the key to the successful prosecution of illegal possession or. illegal sale of dangerous drugs.""1

At issue in this case is whether appellant Fernando Ranche Havana a.k.a. Fernando Ranche Abana did in fact sell or deliver to an alleged poseur-buyer some 0.03 gram of the banned substance Methylamphetamine Hydrochloride, locally known as ""shabu"" on the late afternoon of November 4, 2005. The appellant insists that he never did. The prosecution asserts the contrary.

On appeal is the May 31, 2010 Decision2 of the Court of Appeals (CA) in CA-G.R. CR-HC No. 00688, affirming the February 28, 2007 Decision3 of the Regional Trial Court (RTC) of Cebu City, Branch 58 finding Fernando Havana y Ranche a.k.a. Fernando Abana y Ranche (appellant) guilty of violating Section 5, Article II of Republic Act No. 9165 (RA 9165) otherwise known as the Comprehensive Dangerous Drugs Act of 2002",January 11 2016,https://www.chanrobles.com/cralaw/2016januarydecisions.php?id=9
9,"G.R. No. 197825, January 11, 2016 - CAMILO SIBAL, Petitioner, v. PEDRO BUQUEL, SANTIAGO BUQUEL, JR., ROSALINDA BUQUEL, REPRESENTED BY FRANCISCO BUQUEL, Respondents.","Respondents Pedro Buquel, Santiago Buquel, Jr., Rosalinda Buquel and Francisco Buquel inherited from their parents, Santiago Buquel, Sr. and Faustina Buquel, a parcel of land consisting of 81,022 sq. m. covered by Original Certificate of Title No. 0-725. Sometime m January 1999, petitioner Camilo Sibal and Tobi Mangoba took possession of a portion of the property which belonged to Santiago, Sr. Thereafter, the Buquels made several demands against Sibal and Mangoba for them to vacate and turn over the property, but the latter refused to do so. Hence, they filed a complaint before the Tuguegarao RTC for recovery of possession and damages.                                                refute.

A petition for annulment of judgment is a remedy in equity so exceptional in nature that it may be availed of only if the judgment, final order, or final resolution sought to be annulled was rendered by a court lacking jurisdiction or through extrinsic fraud,",January 11 2016,https://www.chanrobles.com/cralaw/2016januarydecisions.php?id=10
